projectid,project_oid,subject,category_name,area_name,region_name,price,rooms,size,ward_name,price_million_per_m2,street_name,area_v2,facilities_key,surrounding_key,investor_id,investor_name
284,405530665,1924,0,37,13,2550000000.0,2.0,58.5998,411,43.51550687886306,752,37,503,229,975,542
3654,1728959123,10129,3,1,36,1500000000.0,,100.0,398,15.0,918,1,235,229,975,542
4883,619633814,5942,0,91,2,1500000000.0,1.0,37.0,25,40.54054054054054,648,91,594,149,1973,416
4883,619633814,5908,0,91,2,985000000.0,1.0,33.0,25,29.848484848484848,648,91,594,149,1973,416
4883,619633814,260,0,91,2,950000000.0,1.0,30.0,25,31.666666666666668,648,91,594,149,1973,416
4883,619633814,5669,0,91,2,960000000.0,1.0,32.0,25,30.0,648,91,594,149,1973,416
4883,619633814,2504,0,91,2,970000000.0,1.0,31.0,25,31.29032258064516,648,91,594,149,1973,416
4883,619633814,10571,0,91,2,2100000000.0,2.0,61.0,25,34.42622950819672,648,91,594,149,1973,416
4883,619633814,4762,0,91,2,950000000.0,1.0,32.0,25,29.6875,648,91,594,149,1973,416
4883,619633814,5800,0,91,2,2072000000.0,2.0,60.0,25,34.53333333333333,648,91,594,149,1973,416
4883,619633814,8518,0,91,2,1400000000.0,1.0,33.0,25,42.42424242424242,648,91,594,149,1973,416
4883,619633814,4789,0,91,2,8500000000.0,1.0,108.0,25,78.70370370370371,648,91,594,149,1973,416
4883,619633814,5882,0,91,2,1900000000.0,2.0,55.0,25,34.54545454545455,648,91,594,149,1973,416
4883,619633814,9006,0,91,2,2350000000.0,2.0,60.0,25,39.16666666666666,445,91,594,149,1973,416
4883,619633814,8077,0,91,2,2400000000.0,2.0,60.0,25,40.0,648,91,594,149,1973,416
4883,619633814,451,0,91,2,1000000000.0,1.0,33.0,25,30.303030303030305,648,91,594,149,1973,416
4883,619633814,5350,0,91,2,1800000000.0,2.0,60.0,25,30.0,648,91,594,149,1973,416
4883,619633814,4774,0,91,2,1300000000.0,2.0,50.0,25,26.0,648,91,594,149,1973,416
4883,619633814,9593,0,91,2,2020000000.0,2.0,59.0,25,34.23728813559322,648,91,594,149,1973,416
4883,619633814,9743,0,91,2,980000000.0,1.0,35.0,25,28.0,648,91,594,149,1973,416
4883,619633814,5912,0,91,2,1100000000.0,1.0,54.0,25,20.37037037037037,619,91,594,149,1973,416
4883,619633814,10354,0,91,2,1200000000.0,1.0,33.0,25,36.36363636363637,648,91,594,149,1973,416
4883,619633814,5891,0,91,2,2150000000.0,2.0,60.0,25,35.833333333333336,648,91,594,149,1973,416
4883,619633814,5756,0,91,2,2475000000.0,2.0,55.0,25,45.0,445,91,594,149,1973,416
4883,619633814,5622,0,91,2,2000000000.0,1.0,55.0,25,36.36363636363637,648,91,594,149,1973,416
4883,619633814,10146,0,91,2,290000000.0,2.0,10.611,25,27.330129111299595,648,91,594,149,1973,416
4883,619633814,380,0,91,2,1200000000.0,2.0,33.0,25,36.36363636363637,648,91,594,149,1973,416
4883,619633814,8191,0,91,2,2300000000.0,2.0,60.0,25,38.333333333333336,648,91,594,149,1973,416
4883,619633814,4759,0,91,2,2100000000.0,2.0,60.0,25,35.0,648,91,594,149,1973,416
4883,619633814,9977,0,91,2,1900000000.0,2.0,60.0,25,31.666666666666668,648,91,594,149,1973,416
4883,619633814,8896,0,91,2,1900000000.0,2.0,56.0,25,33.92857142857143,648,91,594,149,1973,416
4883,619633814,9868,0,91,2,950000000.0,2.0,60.0,25,15.833333333333334,648,91,594,149,1973,416
4883,619633814,7160,0,91,2,1900000000.0,2.0,55.0,25,34.54545454545455,445,91,594,149,1973,416
4883,619633814,5799,0,91,2,2000000000.0,2.0,55.0,25,36.36363636363637,648,91,594,149,1973,416
4883,619633814,6016,0,91,2,1200000000.0,2.0,60.0,25,20.0,445,91,594,149,1973,416
4883,619633814,4968,0,91,2,2200000000.0,2.0,60.0,25,36.66666666666666,648,91,594,149,1973,416
