projectid,project_oid,subject,category_name,area_name,region_name,price,rooms,size,ward_name,price_million_per_m2,street_name,area_v2,facilities_key,surrounding_key,investor_id,investor_name
4888,1167970029,143,0,73,41,2200000000.0,2.0,55.0,139,40.0,746,73,0,112,1498,432
4888,1167970029,7145,0,73,41,950000000.0,2.0,55.0,139,14.689561950020538,567,73,0,112,1498,432
4888,1167970029,5904,0,73,41,1900000000.0,2.0,72.0,139,26.38888888888889,746,73,0,112,1498,432
4888,1167970029,2645,0,73,41,9161652930.0,3.0,99.5999,139,91.98455952265012,567,73,0,112,1498,432
4888,1167970029,211,0,73,41,950000000.0,2.0,53.0,139,15.09433962264151,221,73,0,112,1498,432
4888,1167970029,4044,0,73,41,999000000.0,2.0,60.0,139,16.65,567,73,0,112,1498,432
4888,1167970029,4786,1,73,41,15000000000.0,4.0,100.0,139,162.5,567,73,0,112,1498,432
4888,1167970029,8699,0,73,41,2200000000.0,1.0,40.0,139,55.0,746,73,0,112,1498,432
4888,1167970029,4651,0,73,41,1900000000.0,2.0,50.0,139,38.0,746,73,0,112,1498,432
4888,1167970029,8651,1,73,41,15000000000.0,4.0,100.0,139,162.5,746,73,0,112,1498,432
4888,1167970029,5866,0,73,41,1350000000.0,1.0,50.0,139,27.0,1088,73,0,112,1498,432
4888,1167970029,7302,0,73,41,2200000000.0,2.0,55.0,139,40.0,746,73,0,112,1498,432
4888,1167970029,8685,0,73,41,1700000000.0,2.0,52.0,139,32.69230769230769,746,73,0,112,1498,432
4888,1167970029,8685,0,73,41,1900000000.0,2.0,50.0,139,38.0,746,73,0,112,1498,432
4888,1167970029,7887,0,73,41,9990000000.0,4.0,96.0,139,104.0625,746,73,0,112,1498,432
4888,1167970029,4936,0,73,41,950000000.0,1.0,35.0,139,24.285714285714285,746,73,0,112,1498,432
4888,1167970029,2954,0,73,41,1450000000.0,1.0,29.0,139,50.0,567,73,0,112,1498,432
4888,1167970029,8614,0,73,41,950000000.0,2.0,50.0,139,17.0,567,73,0,112,1498,432
4888,1167970029,8700,0,73,41,3800000000.0,2.0,83.1998,139,45.67318671439114,746,73,0,112,1498,432
4888,1167970029,4706,0,73,41,3300000000.0,2.0,60.0,139,55.0,746,73,0,112,1498,432
4888,1167970029,5709,0,73,41,2100000000.0,2.0,50.0,139,42.0,232,73,0,112,1498,432
4888,1167970029,7883,0,73,41,2900000000.0,2.0,50.0,139,58.0,746,73,0,112,1498,432
4888,1167970029,8714,1,73,41,15000000000.0,4.0,100.0,139,162.5,746,73,0,112,1498,432
4888,1167970029,447,0,73,41,950000000.0,2.0,68.0,139,14.689561950020538,746,73,0,112,1498,432
4888,1167970029,5219,0,73,41,15000000000.0,4.0,162.0,139,73.77049180327869,1028,73,0,112,1498,432
4888,1167970029,7901,0,73,41,5555555000.0,3.0,51.0,139,108.93245098039216,746,73,0,112,1498,432
4888,1167970029,4858,0,73,41,3500000000.0,2.0,49.0,139,71.42857142857143,746,73,0,112,1498,432
4888,1167970029,8702,0,73,41,1900000000.0,2.0,52.0,139,36.53846153846154,746,73,0,112,1498,432
4888,1167970029,9953,0,73,41,2450000000.0,1.0,39.7999,139,61.55794361292365,746,73,0,112,1498,432
4888,1167970029,5706,0,73,41,6400000000.0,2.0,100.0,139,64.0,746,73,0,112,1498,432
4888,1167970029,8773,0,73,41,2400000000.0,2.0,50.0,139,48.0,746,73,0,112,1498,432
4888,1167970029,8816,0,73,41,1700000000.0,2.0,52.0,139,32.69230769230769,746,73,0,112,1498,432
4888,1167970029,8775,0,73,41,1900000000.0,2.0,52.0,139,36.53846153846154,746,73,0,112,1498,432
4888,1167970029,9960,0,73,41,950000000.0,2.0,52.0,139,16.73076923076923,746,73,0,112,1498,432
4888,1167970029,4610,0,73,41,1700000000.0,2.0,52.0,139,32.69230769230769,746,73,0,112,1498,432
4888,1167970029,4933,0,73,41,950000000.0,2.0,52.0,139,14.689561950020538,746,73,0,112,1498,432
4888,1167970029,10160,0,73,41,950000000.0,2.0,52.0,139,16.73076923076923,746,73,0,112,1498,432
4888,1167970029,4004,0,73,41,2400000000.0,2.0,50.0998,139,47.90438285182775,567,73,0,112,1498,432
4888,1167970029,5791,0,73,41,1700000000.0,2.0,52.0,139,32.69230769230769,746,73,0,112,1498,432
4888,1167970029,5903,0,73,41,1700000000.0,2.0,50.0,139,34.0,746,73,0,112,1498,432
4888,1167970029,8613,0,73,41,2700000000.0,2.0,50.0,139,54.0,746,73,0,112,1498,432
4888,1167970029,8478,0,73,41,15000000000.0,2.0,50.0,139,162.5,746,73,0,112,1498,432
4888,1167970029,7896,0,73,41,950000000.0,2.0,54.0,139,16.462962962962962,567,73,0,112,1498,432
4888,1167970029,374,0,73,41,1900000000.0,2.0,50.0,139,38.0,746,73,0,112,1498,432
4888,1167970029,8787,0,73,41,2100000000.0,2.0,54.0,139,38.888888888888886,746,73,0,112,1498,432
4888,1167970029,5890,0,73,41,2100000000.0,2.0,50.0,139,42.0,746,73,0,112,1498,432
4888,1167970029,5424,0,73,41,2700000000.0,2.0,50.0,139,54.0,746,73,0,112,1498,432
4888,1167970029,8305,3,73,41,2600000000.0,2.2908415841584158,85.0,139,30.58823529411765,627,73,0,112,1498,432
4888,1167970029,5736,0,73,41,3500000000.0,2.0,50.0,139,70.0,746,73,0,112,1498,432
4888,1167970029,9125,0,73,41,2700000000.0,2.0,50.0,139,54.0,746,73,0,112,1498,432
4888,1167970029,10099,0,73,41,999000000.0,1.0,50.0,139,19.98,746,73,0,112,1498,432
4888,1167970029,57,0,73,41,2500000000.0,1.0,35.0,139,71.42857142857143,746,73,0,112,1498,432
4888,1167970029,8738,0,73,41,9000000000.0,3.0,99.0,139,90.9090909090909,746,73,0,112,1498,432
4888,1167970029,5738,0,73,41,4200000000.0,2.0,50.0,139,84.0,746,73,0,112,1498,432
4888,1167970029,5238,0,73,41,3600000000.0,2.0,50.0,139,72.0,746,73,0,112,1498,432
4888,1167970029,10119,0,73,41,950000000.0,1.0,50.0,139,15.6,746,73,0,112,1498,432
4888,1167970029,10251,0,73,41,3300000000.0,2.0,50.0,139,66.0,567,73,0,112,1498,432
4888,1167970029,10287,0,73,41,4100000000.0,2.0,50.0,139,82.0,567,73,0,112,1498,432
4888,1167970029,8615,0,73,41,950000000.0,1.0,50.0,139,18.0,567,73,0,112,1498,432
4888,1167970029,10173,0,73,41,3465000000.0,2.0,50.0,139,69.3,567,73,0,112,1498,432
4888,1167970029,5056,0,73,41,2745000000.0,2.0,50.0,139,54.9,567,73,0,112,1498,432
4888,1167970029,5739,0,73,41,4100000000.0,2.0,50.0,139,82.0,567,73,0,112,1498,432
4888,1167970029,5740,0,73,41,3100000000.0,2.0,50.0,139,62.0,567,73,0,112,1498,432
4888,1167970029,5174,0,73,41,1200000000.0,2.0,50.0,139,24.0,567,73,0,112,1498,432
4888,1167970029,4693,0,73,41,960000000.0,1.0,50.0,139,19.2,567,73,0,112,1498,432
4873,1770059532,6773,3,110,36,10000000000.0,2.2908415841584158,73.5,123,136.05442176870747,554,110,0,114,1949,375
4861,980844120,5768,0,110,36,2300000000.0,1.0,51.0,121,45.09803921568628,491,110,0,0,53,520
4861,980844120,5179,0,110,36,3112000000.0,2.0,70.3,121,44.2674253200569,491,110,0,0,53,520
4861,980844120,9474,0,110,36,2888000000.0,2.0,59.0,121,48.94915254237288,491,110,0,0,53,520
4861,980844120,558,0,110,36,2600000000.0,2.0,59.0,121,44.067796610169495,491,110,0,0,53,520
4861,980844120,4985,0,110,36,3445900000.0,2.0,67.0,121,51.43134328358209,357,110,0,0,53,520
4861,980844120,7825,0,110,36,2500000000.0,1.0,54.0,121,46.2962962962963,491,110,0,0,53,520
4861,980844120,573,0,110,36,3463000000.0,3.0,70.0,121,49.47142857142857,491,110,0,0,53,520
4861,980844120,5746,0,110,36,2500000000.0,2.0,55.0,121,45.45454545454545,491,110,0,0,53,520
4861,980844120,9475,0,110,36,2849000000.0,1.0,46.0,121,61.93478260869565,491,110,0,0,53,520
4861,980844120,1953,0,110,36,3100000000.0,2.0,69.0,121,44.927536231884055,491,110,0,0,53,520
4861,980844120,2677,0,110,36,3126000000.0,2.0,69.0,121,45.30434782608695,357,110,0,0,53,520
4861,980844120,5441,0,110,36,2550000000.0,2.0,59.0,121,43.22033898305085,357,110,0,0,53,520
4861,980844120,732,0,110,36,2300000000.0,1.0,50.0,121,46.0,491,110,0,0,53,520
4861,980844120,5075,0,110,36,2600000000.0,2.0,59.0,121,44.067796610169495,357,110,0,0,53,520
4861,980844120,3461,0,110,36,1700000000.0,1.0,30.0,121,56.66666666666666,491,110,0,0,53,520
4861,980844120,5795,0,110,36,6900000000.0,2.0,54.0,121,127.77777777777776,491,110,0,0,53,520
4861,980844120,6770,0,110,36,2600000000.0,1.0,37.0,121,70.27027027027027,491,110,0,0,53,520
4861,980844120,1830,0,110,36,3900000000.0,2.0,77.0,121,50.64935064935065,491,110,0,0,53,520
4859,1155131966,8057,1,123,1,4000000000.0,4.0,35.0,164,114.28571428571428,621,123,569,145,1962,125
4859,1155131966,9212,3,123,1,1800000000.0,2.2908415841584158,162.0,164,14.689561950020538,621,123,569,145,1962,125
4851,2133334710,216,0,110,36,1979000000.0,1.0,37.0,228,53.48648648648648,389,110,0,0,457,201
4429,2064319752,7496,3,110,36,950000000.0,2.2908415841584158,162.0,35,14.689561950020538,1199,110,0,0,1105,624
4881,926041972,5823,0,70,41,950000000.0,2.0,50.0,92,15.0,348,70,0,211,1971,185
4881,926041972,5918,0,70,41,950000000.0,2.0,50.0,92,15.0,348,70,0,211,1971,185
4881,926041972,2576,0,70,41,950000000.0,2.0,50.0,92,15.0,348,70,0,211,1971,185
4881,926041972,10256,0,70,41,1500000000.0,2.0,60.0,92,25.0,291,70,0,211,1971,185
4881,926041972,9020,0,70,41,950000000.0,1.0,47.0,92,14.689561950020538,348,70,0,211,1971,185
4881,926041972,2680,0,70,41,950000000.0,2.0,50.0,92,15.0,348,70,0,211,1971,185
4881,926041972,2629,0,70,41,950000000.0,2.0,50.0,92,15.0,348,70,0,211,1971,185
4881,926041972,5291,0,70,41,950000000.0,2.0,60.0,92,14.689561950020538,291,70,0,211,1971,185
4881,926041972,7754,0,70,41,950000000.0,2.0,47.0,92,15.95744680851064,291,70,0,211,1971,185
4881,926041972,7532,0,70,41,950000000.0,1.0,47.0,92,14.689561950020538,421,70,0,211,1971,185
4881,926041972,2675,0,70,41,1530000000.0,2.0,59.5998,92,25.67122708465465,291,70,0,211,1971,185
4881,926041972,9022,0,70,41,950000000.0,2.0,56.0,92,14.689561950020538,348,70,0,211,1971,185
4881,926041972,6553,0,70,41,1200000000.0,2.0,56.0,92,21.428571428571427,348,70,0,211,1971,185
4881,926041972,7524,0,70,41,950000000.0,2.0,60.0,92,14.689561950020538,291,70,0,211,1971,185
4881,926041972,8880,0,70,41,950000000.0,2.0,47.0,92,15.53191489361702,291,70,0,211,1971,185
4881,926041972,5023,0,70,41,950000000.0,2.0,45.0,92,14.689561950020538,291,70,0,211,1971,185
4881,926041972,4704,0,70,41,950000000.0,2.0,70.0,92,14.689561950020538,291,70,0,211,1971,185
4881,926041972,8880,0,70,41,950000000.0,2.0,50.0,92,14.689561950020538,291,70,0,211,1971,185
4881,926041972,1171,0,70,41,950000000.0,3.0,70.0,92,14.689561950020538,291,70,0,211,1971,185
4881,926041972,2951,0,70,41,1250000000.0,2.0,58.0,92,21.55172413793104,291,70,0,211,1971,185
4881,926041972,7271,0,70,41,950000000.0,2.0,57.0,92,14.689561950020538,348,70,0,211,1971,185
4881,926041972,9673,0,70,41,950000000.0,2.0,60.0,92,14.689561950020538,978,70,0,211,1971,185
4881,926041972,2070,0,70,41,950000000.0,2.0,60.0,92,14.689561950020538,291,70,0,211,1971,185
4881,926041972,3839,0,70,41,950000000.0,2.0,60.0,92,15.833333333333334,291,70,0,211,1971,185
4881,926041972,6266,0,70,41,950000000.0,2.0,56.0,92,14.689561950020538,348,70,0,211,1971,185
4881,926041972,4270,0,70,41,1400000000.0,3.0,68.0,92,20.58823529411765,348,70,0,211,1971,185
4881,926041972,6420,0,70,41,1250000000.0,2.0,57.0,92,21.92982456140351,291,70,0,211,1971,185
4881,926041972,6768,2,70,41,1990000000.0,2.2908415841584158,54.0,92,36.851851851851855,291,70,0,211,1971,185
4881,926041972,8795,0,70,41,1180000000.0,2.0,56.0,92,21.071428571428573,291,70,0,211,1971,185
4881,926041972,7269,0,70,41,960000000.0,2.0,57.0,92,16.842105263157894,348,70,0,211,1971,185
4881,926041972,1432,0,70,41,1550000000.0,3.0,69.0,92,22.463768115942027,291,70,0,211,1971,185
4881,926041972,5382,0,70,41,1200000000.0,2.0,58.0,92,20.689655172413797,291,70,0,211,1971,185
4881,926041972,4703,0,70,41,950000000.0,2.0,59.2,92,14.689561950020538,291,70,0,211,1971,185
4881,926041972,7525,0,70,41,950000000.0,1.0,45.0,92,16.22222222222222,348,70,0,211,1971,185
4881,926041972,1578,0,70,41,950000000.0,1.0,40.0,92,19.5,348,70,0,211,1971,185
4876,360928569,5725,0,109,2,2030000000.0,2.0,70.0,168,29.0,514,109,0,134,1968,175
4876,360928569,8815,0,109,2,2000000000.0,2.0,70.0,168,28.571428571428573,515,109,0,134,1968,175
4876,360928569,137,0,109,2,950000000.0,2.0,70.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,8814,0,109,2,2076853000.0,2.0,69.7098,168,29.79284117871519,514,109,0,134,1968,175
4876,360928569,8638,0,109,2,1950000000.0,2.0,70.0,168,27.857142857142858,514,109,0,134,1968,175
4876,360928569,139,0,109,2,950000000.0,2.0,67.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,136,0,109,2,950000000.0,2.0,70.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,8182,0,109,2,2069000000.0,2.0,69.7098,168,29.680188438354435,514,109,0,134,1968,175
4876,360928569,8892,0,109,2,950000000.0,2.0,70.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,148,0,109,2,2050000000.0,2.0,70.0,168,29.285714285714285,514,109,0,134,1968,175
4876,360928569,8881,0,109,2,2100000000.0,2.0,70.0,168,30.0,514,109,0,134,1968,175
4876,360928569,208,0,109,2,950000000.0,2.0,70.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,4672,0,109,2,950000000.0,2.0,70.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,5899,0,109,2,2449000000.0,3.0,82.61,168,29.645321389662268,514,109,0,134,1968,175
4876,360928569,185,0,109,2,950000000.0,2.0,46.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,4493,0,109,2,1620000000.0,1.0,46.0,168,35.21739130434783,514,109,0,134,1968,175
4876,360928569,8882,0,109,2,2100000000.0,2.0,70.0,168,30.0,514,109,0,134,1968,175
4876,360928569,135,0,109,2,950000000.0,2.0,70.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,5498,0,109,2,1280000000.0,1.0,46.0,168,27.82608695652174,514,109,0,134,1968,175
4876,360928569,138,0,109,2,2050000000.0,2.0,70.0,168,29.285714285714285,514,109,0,134,1968,175
4876,360928569,5901,0,109,2,950000000.0,2.0,70.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,5759,0,109,2,950000000.0,2.0,70.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,550,0,109,2,1550000000.0,1.0,44.0,168,35.22727272727273,514,109,0,134,1968,175
4876,360928569,134,0,109,2,950000000.0,2.0,70.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,4950,0,109,2,1366000000.0,2.0,46.0,168,29.695652173913043,514,109,0,134,1968,175
4876,360928569,219,0,109,2,950000000.0,3.0,83.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,549,0,109,2,1550000000.0,1.0,46.0,168,33.69565217391305,514,109,0,134,1968,175
4876,360928569,5222,0,109,2,1650000000.0,2.0,53.0,168,31.132075471698112,514,109,0,134,1968,175
4876,360928569,5777,0,109,2,1280000000.0,1.0,44.0,168,29.09090909090909,514,109,0,134,1968,175
4876,360928569,7008,0,109,2,950000000.0,2.0,67.0,168,14.689561950020538,514,109,0,134,1968,175
4876,360928569,6799,0,109,2,1650000000.0,1.0,44.3199,168,37.22932587844287,514,109,0,134,1968,175
4891,1905306654,188,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,5788,0,91,2,1800000000.0,2.0,62.0,252,29.032258064516128,871,91,0,197,1975,364
4891,1905306654,5878,0,91,2,950000000.0,2.0,62.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,278,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,186,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,183,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,206,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,5475,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,7516,0,91,2,950000000.0,2.0,62.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,189,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,8442,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,144,0,91,2,1600000000.0,2.0,62.0,252,25.806451612903224,870,91,0,197,1975,364
4891,1905306654,7826,0,91,2,950000000.0,1.0,31.0,252,29.032258064516128,870,91,0,197,1975,364
4891,1905306654,9121,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4891,1905306654,184,0,91,2,950000000.0,1.0,31.0,252,14.689561950020538,870,91,0,197,1975,364
4886,1356970691,1770,3,124,20,5500000000.0,2.2908415841584158,100.0,188,55.0,875,124,0,19,1974,530
4855,1651557106,4405,0,110,36,3700000000.0,2.0,73.0,125,50.68493150684932,728,110,0,0,191,562
4855,1651557106,4404,0,110,36,3100000000.0,1.0,63.0,125,49.20634920634921,728,110,0,0,191,562
4855,1651557106,5017,0,110,36,2900000000.0,2.0,70.0,125,41.42857142857143,728,110,0,0,191,562
4855,1651557106,6787,0,110,36,2529000000.0,2.0,65.4,125,38.6697247706422,728,110,0,0,191,562
4855,1651557106,8254,0,110,36,2939000000.0,2.0,65.0,125,45.215384615384615,728,110,0,0,191,562
4855,1651557106,5447,0,110,36,2600000000.0,2.0,64.0,125,40.625,728,110,0,0,191,562
4855,1651557106,4252,0,110,36,2600000000.0,2.0,64.0,125,40.625,1085,110,0,0,191,562
4855,1651557106,7169,0,110,36,2900000000.0,2.0,63.0,125,46.03174603174603,728,110,0,0,191,562
4855,1651557106,5079,0,110,36,4381000000.0,3.0,100.0,125,43.81,728,110,0,0,191,562
4855,1651557106,5898,0,110,36,4300000000.0,3.0,100.0,125,43.0,728,110,0,0,191,562
4855,1651557106,5080,0,110,36,2678000000.0,2.0,63.4,125,42.2397476340694,728,110,0,0,191,562
4855,1651557106,2417,0,110,36,2608000000.0,2.0,63.0,125,41.3968253968254,1085,110,0,0,191,562
4855,1651557106,5649,0,110,36,2900000000.0,1.0,63.0,125,46.03174603174603,728,110,0,0,191,562
4855,1651557106,5650,0,110,36,4100000000.0,3.0,99.0,125,41.41414141414141,728,110,0,0,191,562
4855,1651557106,2032,0,110,36,4050000000.0,3.0,99.0,125,40.90909090909091,728,110,0,0,191,562
4855,1651557106,5258,0,110,36,2900000000.0,2.0,65.0,125,44.61538461538461,728,110,0,0,191,562
4855,1651557106,6903,0,110,36,2350000000.0,2.0,64.0,125,36.71875,728,110,0,0,191,562
4855,1651557106,8519,0,110,36,2720000000.0,1.0,63.4,125,42.90220820189275,728,110,0,0,191,562
4855,1651557106,5202,0,110,36,3000000000.0,2.0,63.0,125,47.61904761904762,728,110,0,0,191,562
4855,1651557106,2283,0,110,36,2700000000.0,2.0,64.0,125,42.1875,728,110,0,0,191,562
4855,1651557106,2062,0,110,36,2720000000.0,2.0,63.0,125,43.17460317460318,728,110,0,0,191,562
